1,PreCG.L,Left Precentral gyrus
2,PreCG.R,Right Precentral gyrus
3,SFGdor.L,"Left Superior frontal gyrus, dorsolateral"
4,SFGdor.R,"Right Superior frontal gyrus, dorsolateral"
5,ORBsup.L,"Left Supeiror frontal gyrus, orbital part"
6,ORBsup.R,"Right Supeiror frontal gyrus, orbital part"
7,MFG.L,Left Middle frontal gyrus
8,MFG.R,Right Middle frontal gyrus
9,ORBmid.L,Left Middle frontal gyrus orbital part
10,ORBmid.R,Right Middle frontal gyrus orbital part
11,IFGoperc.L,"Left Inferior frontal gyrus, opercular part"
12,IFGoperc.R,"Right Inferior frontal gyrus, opercular part"
13,IFGtriang.L,"Left Inferior frontal gyrus, triangular part"
14,IFGtriang.R,"Right Inferior frontal gyrus, triangular part"
15,ORBinf.L,"Left Inferior frontal gyrus, orbital part"
16,ORBinf.R,"Right Inferior frontal gyrus, orbital part"
17,ROL.L,Left Rolandic operculum
18,ROL.R,Right Rolandic operculum
19,SMA.L,Left Supplementary motor area
20,SMA.R,Right Supplementary motor area
21,OLF.L,Left Olfactory Cortex
22,OLF.R,Right Olfactory Cortex
23,SFGmed.L,"Left Superior frontal gyrus, medial"
24,SFGmed.R,"Right Superior frontal gyrus, medial"
25,ORBsupmed.L,"Left Superior frontal gyrus, medial orbital"
26,ORBsupmed.R,"Right Superior frontal gyrus, medial orbital"
27,REC.L,Left Gyrus Rectus
28,REC.R,Right Gyrus Rectus
29,INS.L,Left Insula
30,INS.R,Right Insula
31,ACG.L,Left Anterior cingulate and paracingulate gyri
32,ACG.R,Right Anterior cingulate and paracingulate gyri
33,DCG.L,Left Median cingulate and paracingulate gyri
34,DCG.R,Right Median cingulate and paracingulate gyri
35,PCG.L,Left Posterior cingulate gyrus
36,PCG.R,Right Posterior cingulate gyrus
39,PHG.L,Left Parahippocampal gyrus
40,PHG.R,Right Parahippocampal gyrus
43,CAL.L,Left Calcarine fissure and surrounding cortex
44,CAL.R,Right Calcarine fissure and surrounding cortex
45,CUN.L,Left Cuneus
46,CUN.R,Right Cuneus
47,LING.L,Left Lingual gyrus
48,LING.R,Right Lingual gyrus
49,SOG.L,Left Superior occipital gyrus
50,SOG.R,Right Superior occipital gyrus
51,MOG.L,Left Middle occipital gyrus
52,MOG.R,Right Middle occipital gyrus
53,IOG.L,Left Inferior occipital gyrus
54,IOG.R,Right Inferior occipital gyrus
55,FFG.L,Left Fusiform gyrus
56,FFG.R,Right Fusiform gyrus
57,PoCG.L,Left Postcentral gyrus
58,PoCG.R,Right Postcentral gyrus
59,SPG.L,Left Superior parietal gyrus
60,SPG.R,Right Superior parietal gyrus
61,IPL.L,"Left Inferior parietal, but supramarginal and angular gyri"
62,IPL.R,"Right Inferior parietal, but supramarginal and angular gyri"
63,SMG.L,Left Supramarginal gyrus
64,SMG.R,Right Supramarginal gyrus
65,ANG.L,Left Angular gyrus
66,ANG.R,Right Angular gyrus
67,PCUN.L,Left Precuneus
68,PCUN.R,Right Precuneus
69,PCL.L,Left Paracentral lobule
70,PCL.R,Right Paracentral lobule
79,HES.L,Left Heschl gyrus
80,HES.R,Right Heschl gyrus
81,STG.L,Left Superior temporal gyrus
82,STG.R,Right Superior temporal gyrus
83,TPOsup.L,Left Temporal pole: superior temporal gyrus
84,TPOsup.R,Right Temporal pole: superior temporal gyrus
85,MTG.L,Left Middle temporal gyrus
86,MTG.R,Right Middle temporal gyrus
87,TPOmid.L,Left Temporal pole: middle temporal gyrus
88,TPOmid.R,Right Temporal pole: middle temporal gyrus
89,ITG.L,Left Inferior temporal gyrus
90,ITG.R,Right Inferior temporal gyrus
